"time","h1","h2","href"
0,0,0,6
0.12,0.7785520830161187,0.053321136369584465,6
0.24,1.4980595917824069,0.13908180456933916,6
0.36,2.1824956794723405,0.24118444371593206,6
0.48,2.8391181726679804,0.35440509903682926,6
0.6,3.471628070842796,0.47587638610795135,6
0.72,4.082256992350369,0.603730607179787,6
0.84,4.672471029932811,0.7366364164004517,6
0.96,5.243291615427822,0.8735848220857889,6
1.08,5.795465629818588,1.0137746870974347,6
1.2,6.329555817944691,1.1565511138057616,6
1.32,6.845997402958302,1.3013659134104607,6
1.44,7.345137899974476,1.4477497202971712,6
1.56,7.8272623684223595,1.5952940723328943,6
1.68,8.292610921303774,1.7436389150367404,6
1.8,8.741391056451,1.8924632748267625,6
1.92,9.173787964175883,2.041477964777365,6
2.04,9.589971321435348,2.1904204070189315,6
2.16,9.99010236194958,2.3390504976631137,6
2.28,10.374333086781697,2.4871475020573977,6
2.4,10.742815217849763,2.634507137927361,6
2.52,11.095700593318707,2.780939986979854,6
2.64,11.43314218353342,2.9262700205976446,6
2.76,11.75529633714281,3.070332499909049,6
2.88,12.06232539613612,3.212972278501995,6
3,12.35439899124183,3.3540431475504153,6
3.12,12.63169405678271,3.493407735391756,6
3.24,12.894394608001974,3.6309371886616404,6
3.36,13.142692065338364,3.766510554305868,6
3.48,13.376785891000113,3.900013778262406,6
3.6,13.596885350345524,4.031338198868921,6
3.72,13.803209323706632,4.160381428419862,6
3.84,13.995986038801156,4.287047421994528,6
3.96,14.175452363468022,4.41124632471812,6
4.08,14.34185377336475,4.53289373964904,6
4.2,14.495444852833486,4.651909649168873,6
4.32,14.636490455837704,4.768218072400093,6
4.44,14.765265152990995,4.881748424750086,6
4.56,14.88205142630345,4.992436420123736,6
4.68,14.987138611203774,5.100223293058069,6
4.8,15.080823392749732,5.20505428930509,6
4.92,15.163410849865471,5.306877548555143,6
5.04,15.235215796967843,5.4056447845385325,6
5.16,15.296560243196854,5.501314808777755,6
5.28,15.347771290816366,5.5938517085574855,6
5.4,15.389179837362926,5.6832231499755075,6
5.52,15.42112227115436,5.769400694537333,6
5.64,15.44394194109384,5.8523599660619965,6
5.76,15.457989960098992,5.9320818703193785,6
5.88,15.463619842720556,6.008552226383963,6
6,15.46118453413878,6.081761277581545,6
6.12,15.451038231073818,6.151702975832564,6
6.24,15.4335400598634,6.218375191245723,6
6.36,15.409054735930274,6.281780393018008,6
6.48,15.377950465975891,6.3419265125481115,6
6.6,15.340590695409794,6.3988268327418325,6
6.72,15.297331990836524,6.4524982803007855,6
6.84,15.248530717253733,6.502960556814168,6
6.96,15.194548721844173,6.5502370957946425,6
7.08,15.135749449106951,6.594357173338727,6
7.2,15.072492908751846,6.635355637500831,6
7.32,15.005126422649042,6.673271351666928,6
7.44,14.933990933616391,6.708146215197401,6
7.56,14.859427234704826,6.740024739802432,6
7.68,14.781777493020972,6.768955803746639,6
7.8,14.701378189242492,6.794993903218334,6
7.92,14.618553686800388,6.818198845798422,6
8.04,14.533611558597407,6.838633424084798,6
8.16,14.446855254795452,6.856360496017742,6
8.28,14.358587673734512,6.8714475261803205,6
8.4,14.269103595587616,6.883965490579565,6
8.52,14.178687307642061,6.893990043779034,6
8.64,14.087610248489574,6.901600192371539,6
8.76,13.996131027483175,6.9068772613261125,6
8.88,13.904497962212016,6.909903603591532,6
9,13.812952099237771,6.91076312397698,6
9.12,13.721725726030222,6.909542543448035,6
9.24,13.63103894139328,6.906331729993579,6
9.36,13.54109704236269,6.90122271521523,6
9.48,13.452091285595241,6.894308777898092,6
9.6,13.364202338342754,6.885682926818244,6
9.72,13.277603669345961,6.875438041651003,6
9.84,13.192457973014257,6.863668588473513,6
9.96,13.108910541580043,6.85047128849683,6
10.08,13.027095022893247,6.835942518764513,6
10.2,12.947133920749229,6.820177179704555,6
10.32,12.86913953494859,6.803268651280317,6
10.44,12.793213240845708,6.78531032338372,6
10.56,12.719445152860432,6.766395618194186,6
10.68,12.647913804048956,6.746617130563934,6
10.8,12.578686780448232,6.7260654344525355,6
10.92,12.511821835611563,6.704828440265022,6
11.04,12.44736752978071,6.682991389563957,6
11.16,12.385363212441332,6.660638295455287,6
11.28,12.325838524426787,6.6378524320176,6
11.4,12.26881364726952,6.614714678643989,6
11.52,12.214300562583745,6.591301665637237,6
11.64,12.162304288012075,6.567685771075161,6
11.76,12.1128231457486,6.543936708520908,6
11.88,12.065848216777017,6.520123589388435,6
12,12.021362970801281,6.496312298080069,6
12.12,11.979344607634225,6.472565226717068,6
12.24,11.939764913086536,6.448940172269116,6
12.36,11.902591063251291,6.425491156299286,6
12.48,11.867785698759786,6.402269278661045,6
12.6,11.835307007128737,6.379323239563202,6
12.72,11.805108562041243,6.356699277161623,6
12.84,11.7771398383153,6.334439733508632,6
12.96,11.751347216005827,6.312582764067658,6
13.08,11.727674822946446,6.291162784198731,6
13.2,11.706064619156107,6.2702115238622245,6
13.32,11.686456208183458,6.249758669849739,6
13.44,11.668786292637817,6.229831453836318,6
13.56,11.652989643406784,6.210452551683098,6
13.68,11.639000362975708,6.191641384886915,6
13.8,11.626752570066998,6.173414921282512,6
13.92,11.61617974711102,6.155788546349143,6
14.04,11.60721394775271,6.138775604342378,6
14.16,11.599785335021465,6.122386394157336,6
14.28,11.593824600316823,6.106627906701709,6
14.4,11.589264357789302,6.091504563919981,6
14.52,11.586037940948023,6.077020079327573,6
14.64,11.584078493607217,6.063176610138905,6
14.76,11.58331819625883,6.049973998232726,6
14.88,11.583688778045426,6.037409284929546,6
15,11.585124445648015,6.025477982566938,6
15.12,11.58756302931258,6.014175549509781,6
15.24,11.590941757564241,6.0034956129601005,6
15.36,11.595198885268069,5.993430480702994,6
15.48,11.600272917156689,5.983970734957564,6
15.6,11.60610354673145,5.975105623116109,6
15.72,11.612632629428644,5.966823535395547,6
15.84,11.619804620539586,5.9591125101497004,6
15.96,11.627565682811602,5.951960057658769,6
16.08,11.635862866579352,5.945352765349184,6
16.2,11.644644168201207,5.939276182659858,6
16.32,11.653859153712002,5.933715071581051,6
16.44,11.663459610371866,5.92865372323234,6
16.56,11.673399815506793,5.9240764630769815,6
16.68,11.683635851152369,5.919967599348322,6
16.8,11.694124831575927,5.916310931416056,6
16.92,11.704825220199941,5.913089461516351,6
17.04,11.715697414374064,5.910286063748464,6
17.16,11.726704064756177,5.907883708713293,6
17.28,11.737810171972669,5.905865771755764,6
17.4,11.748982330247337,5.904215720341229,6
17.52,11.760188259178406,5.9029167476992646,6
17.64,11.771397016287622,5.90195177848786,6
17.76,11.782579563150199,5.901303823262203,6
17.88,11.793708903132693,5.900956257971105,6
18,11.804759929721213,5.90089288543165,6
18.12,11.815709006235736,5.901097699984214,6
18.24,11.826533559254464,5.901554712872156,6
18.36,11.837212530029634,5.9022481677772145,6
18.48,11.847727397599657,5.903163063829651,6
18.6,11.858060511717044,5.904284336219428,6
18.72,11.868195265640283,5.905597300235992,6
18.84,11.878116984376323,5.9070876021964995,6
18.96,11.88781208951263,5.908741373710372,6
19.08,11.897268520977548,5.910544987242597,6
19.2,11.906475164732836,5.912485320298954,6
19.32,11.915422437457256,5.914549559693931,6
19.44,11.924101720955218,5.916725409439399,6
19.56,11.93250575908865,5.919000913174059,6
19.68,11.940628126281176,5.92136459678363,6
19.8,11.948463735366765,5.923805374813753,6
19.92,11.956008312951326,5.926312622442156,6
20.04,11.963258686512022,5.92887613650191,6
20.16,11.970212423058165,5.931486147402269,6
20.28,11.976868021504465,5.934133327174406,6
20.4,11.983224906585418,5.9368087665354485,6
20.52,11.989283205293308,5.939503995552049,6
20.64,11.99504372015995,5.9422109530198695,6
20.76,12.000507999560206,5.944922007463968,6
20.88,12.00567835762515,5.947629941835803,6
21,12.010557665103585,5.950327949639993,6
21.12,12.015149287157955,5.953009613460644,6
21.24,12.019457170516953,5.955668921523494,6
21.36,12.023485704029605,5.958300248932685,6
21.48,12.027239799734753,5.960898357519174,6
21.6,12.030725057821027,5.963458395837523,6
21.72,12.033947168145104,5.965975877997915,6
21.84,12.036912311527532,5.968446690214829,6
21.96,12.039626818192419,5.9708670117556855,6
22.08,12.04209738292748,5.973233397849836,6
22.2,12.044330976119916,5.975542754160248,6
22.32,12.046334737783809,5.97779228413841,6
22.44,12.048116008197985,5.979979407282323,6
22.56,12.049682201685693,5.982101946167301,6
22.68,12.051040833200084,5.98415797010415,6
22.8,12.052199742483413,5.98614580254614,6
22.92,12.053166813578493,5.9880640270480425,6
